file,date,terms
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4946.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4956-6.html,2017,"immigration, immigrant, migrant, citizenship, deportation, border, undocumented, daca, dreamer, border security, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-05-CREC-2017-09-05-pt1-PgS4958-3.html,2017,border
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgH6660-6.html,2017,"border, undocumented, daca, dreamer, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgH6667.html,2017,unauthorized
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgH6678-3.html,2017,"immigration, immigrant, migrant, citizenship, deportation, border, asylum, refugee, undocumented, wall, daca, dreamer, border security, amnesty, mexico, ice, cbp"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgH6695.html,2017,"immigration, immigrant, migrant, citizenship, border, asylum, refugee, undocumented, unauthorized, wall, daca, dreamer, visa, detention, border security, mexico, ice, cbp"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgH7072-2.html,2017,"immigration, immigrant, migrant, deportation, border, asylum, refugee, undocumented, illegal alien, wall, daca, visa, detention, border security, mexico, ice, cbp"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgH7082.html,2017,"immigration, migrant, deportation, border, asylum, wall, detention, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgH7087-3.html,2017,"mexico, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgH7088-2.html,2017,"immigration, immigrant, migrant"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgH7089-13.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgS4972-3.html,2017,"deportation, daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgS4972-4.html,2017,border
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgS4975.html,2017,wall
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgS4984-3.html,2017,"immigration, immigrant, migrant, citizenship, deportation, border, undocumented, wall, daca, dreamer, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgS4988.html,2017,"immigration, immigrant, migrant, citizenship, deportation, border, asylum, undocumented, unauthorized, wall, daca, dreamer, visa, detention, mexico, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgS5000.html,2017,"immigrant, migrant, border"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgS5002-2.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgS5003-6.html,2017,"border, visa, border security"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgS5004-4.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-06-CREC-2017-09-06-pt1-PgS5007.html,2017,"immigration, border, ice, cbp"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgH7181-2.html,2017,"immigration, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgH7183-4.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5025-3.html,2017,dreamer
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5025-4.html,2017,"daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5026.html,2017,"immigration, immigrant, migrant, daca, dreamer, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5027-2.html,2017,"immigration, immigrant, migrant, deportation, asylum, daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5030-2.html,2017,immigration
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5031-3.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5031.html,2017,"immigration, immigrant, migrant, refugee, daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5038-3.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5039.html,2017,"immigration, immigrant, migrant, deportation, border, refugee, wall, daca, dreamer, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5042.html,2017,"immigrant, migrant"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5043.html,2017,"immigration, immigrant, migrant, citizenship, deportation, border, undocumented, daca, dreamer, path to citizenship, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5056-3.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5058.html,2017,unauthorized
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5059.html,2017,unauthorized
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5060.html,2017,"immigrant, migrant, citizenship, border"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5063.html,2017,"immigration, citizenship, border, asylum, refugee, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-07-CREC-2017-09-07-pt1-PgS5079.html,2017,"mexico, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgD947-3.html,2017,visa
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgE1185-3.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgE1185-4.html,2017,"immigrant, migrant, citizenship"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgE1190-5.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgH7186-2.html,2017,"immigrant, migrant, daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgH7186-4.html,2017,"daca, dreamer, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgH7187-2.html,2017,"immigration, border"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgH7187-3.html,2017,"border, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgH7187-4.html,2017,"immigrant, migrant, undocumented, daca, dreamer"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgH7191.html,2017,"immigration, border, dreamer, mexico, ice, cbp"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgH7197-2.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgH7201-2.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgH7208-3.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgH7216-3.html,2017,immigration
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-08-CREC-2017-09-08-pt1-PgH7217-18.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-11-CREC-2017-09-11-pt1-PgE1198.html,2017,immigration
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-11-CREC-2017-09-11-pt1-PgS5086-7.html,2017,"immigration, immigrant, migrant, citizenship, undocumented, wall, daca, dreamer, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-11-CREC-2017-09-11-pt1-PgS5092-4.html,2017,unauthorized
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-11-CREC-2017-09-11-pt1-PgS5100.html,2017,wall
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-11-CREC-2017-09-11-pt1-PgS5102-4.html,2017,"immigration, immigrant, migrant, deportation, border, refugee, undocumented, wall, daca, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-11-CREC-2017-09-11-pt1-PgS5114-3.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-11-CREC-2017-09-11-pt1-PgS5118.html,2017,"immigration, immigrant, migrant, border, unauthorized, visa, border security"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-11-CREC-2017-09-11-pt1-PgS5165-4.html,2017,"immigrant, migrant"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-11-CREC-2017-09-11-pt1-PgS5170.html,2017,"immigration, unauthorized, detention"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-11-CREC-2017-09-11-pt1-PgS5179.html,2017,"immigration, citizenship, border, border security, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-12-CREC-2017-09-12-pt1-PgS5196-2.html,2017,"wall, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-12-CREC-2017-09-12-pt1-PgS5198-2.html,2017,"border, unauthorized, wall"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-12-CREC-2017-09-12-pt1-PgS5213-5.html,2017,"immigration, immigrant, migrant, visa"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-12-CREC-2017-09-12-pt1-PgS5215-2.html,2017,"border, mexico, cbp"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-12-CREC-2017-09-12-pt1-PgS5220.html,2017,"immigration, immigrant, migrant, deportation, border, visa, border security"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-18-CREC-2017-09-18-pt1-PgD989.html,2017,visa
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-18-CREC-2017-09-18-pt1-PgE1240-3.html,2017,wall
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-18-CREC-2017-09-18-pt1-PgS5776-4.html,2017,"detention, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-18-CREC-2017-09-18-pt1-PgS5800-5.html,2017,immigration
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-18-CREC-2017-09-18-pt1-PgS5800-6.html,2017,immigration
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-18-CREC-2017-09-18-pt1-PgS5801.html,2017,"immigration, border, border security, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-18-CREC-2017-09-18-pt1-PgS5802-2.html,2017,border
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-18-CREC-2017-09-18-pt1-PgS5802.html,2017,border
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-18-CREC-2017-09-18-pt1-PgS5806.html,2017,"immigration, visa"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-19-CREC-2017-09-19-pt1-PgD993-4.html,2017,visa
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-19-CREC-2017-09-19-pt1-PgS5831-2.html,2017,immigration
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-19-CREC-2017-09-19-pt1-PgS5842-2.html,2017,border
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-19-CREC-2017-09-19-pt1-PgS5842.html,2017,immigration
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-19-CREC-2017-09-19-pt1-PgS5850.html,2017,"immigration, migrant, undocumented, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-19-CREC-2017-09-19-pt1-PgS5853-4.html,2017,refugee
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-19-CREC-2017-09-19-pt1-PgS5860-3.html,2017,"border, mexico, cbp"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-19-CREC-2017-09-19-pt1-PgS5862.html,2017,border
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-19-CREC-2017-09-19-pt1-PgS5865.html,2017,border
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-21-CREC-2017-09-21-pt1-PgD996-3.html,2017,border
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-21-CREC-2017-09-21-pt1-PgD997-2.html,2017,visa
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-21-CREC-2017-09-21-pt1-PgE1246-3.html,2017,"immigration, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-21-CREC-2017-09-21-pt1-PgE1246.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-21-CREC-2017-09-21-pt1-PgE1251-2.html,2017,"immigration, immigrant, migrant, citizenship, deportation"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-21-CREC-2017-09-21-pt1-PgE1251.html,2017,migrant
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-21-CREC-2017-09-21-pt1-PgH7433.html,2017,border
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-21-CREC-2017-09-21-pt1-PgH7435-4.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgH7446.html,2017,refugee
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgH7450.html,2017,wall
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgH7452.html,2017,citizenship
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgH7457.html,2017,wall
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgH7475-6.html,2017,visa
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgH7476-4.html,2017,"immigrant, migrant, daca, dreamer, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgH7476-5.html,2017,dreamer
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgH7476-6.html,2017,dreamer
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgH7477.html,2017,"immigrant, migrant, mexico, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgH7484-3.html,2017,"border, border security, cbp"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgH7486-13.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgS5882-3.html,2017,immigration
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgS5882-4.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgS5886-4.html,2017,"immigration, visa"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgS5887.html,2017,refugee
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgS5889-3.html,2017,"immigration, immigrant, migrant, border, wall, visa, detention, border security, mexico, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-25-CREC-2017-09-25-pt1-PgS6088.html,2017,"unauthorized, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-26-CREC-2017-09-26-pt1-PgH7518-5.html,2017,"border, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-26-CREC-2017-09-26-pt1-PgH7521-5.html,2017,"border, daca, mexico"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-26-CREC-2017-09-26-pt1-PgH7523.html,2017,"border, ice"
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-26-CREC-2017-09-26-pt1-PgH7532-2.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-26-CREC-2017-09-26-pt1-PgH7533-18.html,2017,mexico
C:\Users\kevin barcenas\Documents\GitHub\LIN350Project\congressional_record\congressional_record\CREC-2017-09-26-CREC-2017-09-26-pt1-PgS6097-9.html,2017,wall
